Open-1,Open-2,Open-3,High-1,High-2,High-3,Low-1,Low-2,Low-3,Volume-1,Volume-2,Volume-3,Target
323.52,322.57,322.37,324.76,325.22,323.4,318.95,320.26,318.0,29706720.0,26356390.0,29421010.0,315.31
175.21,177.91,174.94,177.74,178.25,175.85,174.52,176.13,174.27,27825140.0,23273160.0,31686450.0,172.8
104.89,108.65,109.72,107.79,110.42,109.9,104.88,108.6,108.88,31154910.0,45547590.0,25763840.0,106.0
250.9,270.8,262.74,263.11,271.7,267.37,249.38,259.0,261.23,50455070.0,50721830.0,42223820.0,242.8
179.8,180.2,178.92,180.54,182.14,180.59,177.81,178.62,177.91,36529740.0,23714690.0,27948160.0,184.66
157.5,158.23,159.07,157.89,160.0,160.47,155.11,158.02,158.88,26330070.0,21564890.0,19376940.0,157.86
208.89,207.48,208.46,209.24,209.73,210.64,206.73,207.14,208.44,13909560.0,17618870.0,21673390.0,207.67
203.46,204.28,210.62,205.14,207.16,212.73,199.67,203.84,210.03,27883360.0,28813620.0,24431920.0,203.16
263.79,267.48,270.0,265.89,271.0,270.8,262.73,267.3,264.91,18661340.0,26547490.0,32182650.0,261.07
121.11,120.96,116.9,121.81,121.81,118.07,120.62,120.05,116.06,33009110.0,33829290.0,59029400.0,121.85
152.5,152.88,150.85,153.97,153.7,151.27,150.86,151.51,149.22,35661200.0,26924630.0,32018540.0,151.29
311.85,313.59,316.27,315.5,315.7,318.74,309.55,312.09,315.0,30480880.0,27207250.0,34454120.0,316.7
115.59,116.52,117.52,116.52,117.8,118.02,115.59,116.49,116.2,14244050.0,18131970.0,20686510.0,116.35
199.2,201.85,203.31,201.51,203.73,204.39,198.81,201.56,201.71,20578020.0,17897140.0,20191840.0,200.81
115.93,116.25,115.66,116.53,116.54,116.49,114.42,115.44,113.72,43218350.0,37080720.0,63712340.0,116.58
351.34,364.0,365.0,359.46,372.38,368.79,351.15,362.27,358.52,33861320.0,53038870.0,48155850.0,354.64
220.24,220.78,216.82,222.28,221.36,221.26,219.15,217.29,216.63,26388050.0,95584080.0,27581270.0,218.5
105.8,105.66,106.14,106.5,106.57,106.8,105.5,105.64,105.62,24817940.0,31639010.0,26675250.0,106.62
165.45,165.38,166.0,168.35,167.53,167.45,162.73,164.39,159.09,43250420.0,33753490.0,47597670.0,169.0
159.78,160.42,156.75,160.87,160.71,157.08,159.23,159.6,155.02,18969700.0,16252850.0,42357420.0,157.9
